id,score
b258286cc84b4f068f0ac295ceb49240,507
1c43bea8401d4156baa9f1ceff507547,507
69d0c10c56f44585a3e56c1fae1dce48,507
287bdbc3bd984623af6c0158a50ba227,516
31cefd6c67dd4d6599045e68355c97d2,516
fa4d2f69a4ed448282d4c3710a47a0f2,516
9dd3d7e5605841acb98d758e56fe6325,531
dda7234344c348a4932aa31ebe0f59ba,533
ae8b7f850b7c4be0ae82f993c26d833d,546
2d410cd5f4e843808343e14d2ce26373,546
e98bb557197944e590aad54e6fc2f91c,546
2e375b98f4f34d79bca44e5510acff22,546
a793e35c68464816b4745d5d53f66e6b,546
40fea3c52361429a8724ae6c793e34a7,546
7962e2d2c4c043eab37b6c6f01af485b,546
a7ab25ebd35f42348ff6758c72056dcd,546
bfdc10ff3e614f34a7ec98bcad22214c,546
32fb62e7dd264962ab229c1a6beab7b8,546
4819ec59cd764f8ebb88a1d4166a95fe,546
992576d6173f42fd99d67ae1d30da844,547
6d740d1fe58a45b384bc81d4af829628,547
b6c1aa0294564d1db487ff1cfd0b7376,547
dd33cc8a23f54af9b36a8f998ad8850e,547
7897badd49d846538006acd4eabeeed1,547
f0157ee5450c416ba2b8e6ea40d1be20,547
ef43800b02214157b50cddf4a9b826bc,547
a4ae5a7fa8fe4d52b811c2a5eda1a8b7,547
69ebdf7308624399a059d6ebdeeb4270,547
0d1d09b277d14494b48ca770351f02e6,547
6bd9cfee1a2f4ea2bea71d72b000dccb,548
97a16318089a442ea61c9d918fe80375,548
7916d8ef67c343409111dd165e641789,549
96a9541794d44de88d999f2801027c25,549
2032ad3f68ed422ba95a3a2e6983909e,549
e0ae2db6fa874bbabf1f4d137422fcea,549
a064f1e46fe04c09ad68729defe0b637,551
78b85d762f544461a33d97f9bfa6e3fa,551
8f0dfb6bb72443c8a744798c2fa6d81e,551
ba132dc00f424b128c77975a6b974b76,551
a5cf80aa736941dc82fa1821f841b2d4,551
f5d4e2b486994ce19ca8475490ada853,551
6d9b719535d5400cabbf34eec73d629b,551
e1e1e039349540a09320e8a2be17df59,551
502b780fa2334cf899f58147b47999bc,551
f1f862c97bec4d36837bc670ae43e3c0,551
0ccb766230d94f58b2378d37ce09daac,551
1dec8e6b96e647a5a0ea428d5cb92dc5,552
e964105a5eff48419df2b40fb5755a17,552
d1c8d80afc39493bb62d0a688fc10a79,552
43852ba9ff85425cb70a5eb1429d1726,552
2c30f420833042c29c6e86674f4f9974,552
8f9cdd49cddd412191c25675a3255b59,552
78ac69c3f7fc4cdb8ff71ab280f03d55,552
a0cc539ccb2746e894ecb7d14833ba31,552
7db0aac2f85940bc927533c57d8c5068,552
dcb21330ae68458993ce16d7c2369a5c,552
9e76be08a4854902a6a797a637732707,552
31e5c3a74a3b4223b381511c39d81bac,552
b03eecf911bb46359543ea7336ad38fd,552
df7ecf0a6c2d41cdaa660194fe21e2c2,552
2e5ef4e97cde4633983a48c323c5ca55,552
764d18c242704e57a18ea41ad4dafd8b,554
1739e1b6d9134df98b641ceb63c45252,554
cabbb16453b94a9a9300b5962cd368c9,554
7cdc052f5649460e951bf72e4f1126bd,554
cf76ef8dfd0f4345b395eb77e07d73a2,554
b2c3176dadbe4988b3538512c0e9afb2,554
cf2ca0ba9f6c4facbc76b1e5b72e1b68,554
51bf40fb71274f09bf2f07e0036ca74d,554
3666df4c1faf463a9caf719d76c24b1d,554
a439dbd6bdcf47679bcd4d92dafb8dd3,554
9f5ef8b7f48a4a49b992af3b8ef1453e,555
c7248084781a4d638435bcab2fc15298,555
c2a3ade83c7740938c7b7ea45cd67aec,555
92f1d2cdc1eb4ecba5d5b727d68df3b3,555
6804d140a2134afea5393f47269d1046,555
a3bfdf5a4ffc4be5a06a09f75dd07a56,555
a85be1433fd74b12bacda03bfefa056f,556
f7bc4deafbac4f07a7f41b6749739138,556
47acc5b79cf44bfab2fe45b4bf89edf8,556
92e8b4ab93d54e45ad13139d503d2d39,556
c078372422a340a7b558dee7a7d00170,556
a07abc0cde07465fadcf87abdae9f77e,556
9c5fcea2640e4628a4384313388310b6,556
1df1e12ec737402fb3b266a725ceeec9,556
bea2c7c0312b415c84d619d6f0846155,560
c1afb253ec46415995866d40ff6a74b9,560
1618f538c9ba42aeb815a117a846b374,563
25eee59fa8c845639a8ceedf8ff6dd80,563
ae451fd1b357461e90a6cc3be96555f8,563
0ff60153af01480f9cb6971773d3610d,563
f74aaaf66f6a44b88de1baffdf5a4ae4,563
085077fb74dc407084d0cb1618b1fddc,566
efa6b44cf8454f16b3f9eaaad665f60c,566
406f0b4401f8418c84cf6494ca0b42ad,566
ddc4af796ede455ab04e8184ca93b58f,568
3f0d9d305f28426a95b5abf2129f0f11,568
6c085e90c5a246e297ab053100393793,568
357a5a04866f418491d315fc558cd772,568
17068cf94c844d9fb75610fcc8279f77,568
0489a0cb9c0d436592a25aaa97e81cc0,568
3cf458f159ee4f69b520b6de48a1f22a,568
acb3fa1c674f493eb993a26bbea4a4e8,568
a6b5f11500534a5fb8ee485ce912b70b,568
dfca6e1ed20a46cd88109ca7bfab7fa2,568
5fd7285e46724a788dfacb6b189a59bb,568
b851394c752d4af2bb5329c25eb42dfb,568
84a31042ff8a4370822b7fe2fe6859f7,568
a2c9ddda329b49158d330e7c97c020fe,568
a6e07914dd25423c9a7fe1d551875fd9,568
ea918d05814447a29f9fe4b7ead8a181,568
64c28208548f469fbff09e265e880d00,568
e1215a0edc7a4165a14340afd81b3070,568
b4b29f760df34f5dbebd7c57e7a03b70,568
71492bac9d1348c58c8135b3b780858e,573
b7437f06d7324372820cb8fe73a795bd,573
8b55ddab79524f67b8a1b5cabe2c68e3,573
74aa1cfa478d43eba3101b10fa679a37,573
b1c7013e045a4fb48e250cca3ab4b1b4,573
c63095fc240d4f0fa9ecb886cc23cb5f,573
69c8988078664f83afd2a45f6d6194b4,573
9b72780abef049bd9d60732191fe1d0d,573
aa2c6861a98f4ccc85a31dc2687c77af,573
60120d63d0574a96b8e0f53a6fd80d9d,575
dd52f23995194dd79082a35b1d4267cc,575
1549980468d142d4ab3f8bab1aad9cf9,575
a840fb487c84489fb1f33ec4a6993e11,575
72cff4cb0087472faa4a253c72ee4d66,575
